"filename", "language", "Rust", "comment", "blank", "total"
"/home/t-aelaswar/process-manager/src/affinity.rs", "Rust", 19, 0, 2, 21
"/home/t-aelaswar/process-manager/src/alerts.rs", "Rust", 25, 0, 5, 30
"/home/t-aelaswar/process-manager/src/main.rs", "Rust", 6, 0, 0, 6
"/home/t-aelaswar/process-manager/src/snapshots.rs", "Rust", 8, 0, 1, 9
"Total", "-", 58, 0, 8, 66
