"filename", "language", "Shell Script", "Markdown", "Python", "Rust", "HTML", "comment", "blank", "total"
"/home/t-aelaswar/process-manager/COMPLETE_DOCUMENTATION.md", "Markdown", 0, 1659, 0, 0, 0, 0, 443, 2102
"/home/t-aelaswar/process-manager/PROJECT_SUMMARY.md", "Markdown", 0, 262, 0, 0, 0, 0, 49, 311
"/home/t-aelaswar/process-manager/README.md", "Markdown", 0, 374, 0, 0, 0, 0, 96, 470
"/home/t-aelaswar/process-manager/benches/benchmarks.rs", "Rust", 0, 0, 0, 177, 0, 20, 42, 239
"/home/t-aelaswar/process-manager/demo.sh", "Shell Script", 88, 0, 0, 0, 0, 2, 6, 96
"/home/t-aelaswar/process-manager/examples/api_client.sh", "Shell Script", 135, 0, 0, 0, 0, 16, 22, 173
"/home/t-aelaswar/process-manager/examples/api_export_csv.py", "Python", 0, 0, 32, 0, 0, 11, 12, 55
"/home/t-aelaswar/process-manager/examples/api_monitor_cpu.py", "Python", 0, 0, 59, 0, 0, 12, 14, 85
"/home/t-aelaswar/process-manager/src/affinity.rs", "Rust", 0, 0, 0, 194, 0, 121, 39, 354
"/home/t-aelaswar/process-manager/src/alerts.rs", "Rust", 0, 0, 0, 353, 0, 65, 58, 476
"/home/t-aelaswar/process-manager/src/anomaly.rs", "Rust", 0, 0, 0, 393, 0, 31, 72, 496
"/home/t-aelaswar/process-manager/src/api.rs", "Rust", 0, 0, 0, 385, 0, 18, 59, 462
"/home/t-aelaswar/process-manager/src/config.rs", "Rust", 0, 0, 0, 290, 0, 34, 59, 383
"/home/t-aelaswar/process-manager/src/containers.rs", "Rust", 0, 0, 0, 285, 0, 70, 53, 408
"/home/t-aelaswar/process-manager/src/diffing.rs", "Rust", 0, 0, 0, 347, 0, 71, 50, 468
"/home/t-aelaswar/process-manager/src/gpu.rs", "Rust", 0, 0, 0, 205, 0, 22, 35, 262
"/home/t-aelaswar/process-manager/src/groups.rs", "Rust", 0, 0, 0, 185, 0, 54, 37, 276
"/home/t-aelaswar/process-manager/src/history.rs", "Rust", 0, 0, 0, 295, 0, 16, 49, 360
"/home/t-aelaswar/process-manager/src/lib.rs", "Rust", 0, 0, 0, 19, 0, 56, 4, 79
"/home/t-aelaswar/process-manager/src/logging.rs", "Rust", 0, 0, 0, 154, 0, 120, 20, 294
"/home/t-aelaswar/process-manager/src/main.rs", "Rust", 0, 0, 0, 212, 0, 105, 23, 340
"/home/t-aelaswar/process-manager/src/memmap.rs", "Rust", 0, 0, 0, 268, 0, 59, 43, 370
"/home/t-aelaswar/process-manager/src/metrics.rs", "Rust", 0, 0, 0, 274, 0, 30, 42, 346
"/home/t-aelaswar/process-manager/src/network.rs", "Rust", 0, 0, 0, 246, 0, 30, 43, 319
"/home/t-aelaswar/process-manager/src/process.rs", "Rust", 0, 0, 0, 364, 0, 113, 66, 543
"/home/t-aelaswar/process-manager/src/profiles.rs", "Rust", 0, 0, 0, 337, 0, 67, 45, 449
"/home/t-aelaswar/process-manager/src/snapshots.rs", "Rust", 0, 0, 0, 340, 0, 58, 55, 453
"/home/t-aelaswar/process-manager/src/tree.rs", "Rust", 0, 0, 0, 157, 0, 4, 23, 184
"/home/t-aelaswar/process-manager/src/ui.rs", "Rust", 0, 0, 0, 607, 0, 25, 74, 706
"/home/t-aelaswar/process-manager/test.sh", "Shell Script", 46, 0, 0, 0, 0, 6, 7, 59
"/home/t-aelaswar/process-manager/tests/integration_test.rs", "Rust", 0, 0, 0, 50, 0, 24, 21, 95
"/home/t-aelaswar/process-manager/tests/integration_tests.rs", "Rust", 0, 0, 0, 257, 0, 20, 61, 338
"/home/t-aelaswar/process-manager/web/index.html", "HTML", 0, 0, 0, 0, 403, 0, 68, 471
"Total", "-", 269, 2295, 91, 6394, 403, 1280, 1790, 12522
